Admin_Unit_Code,Sub_Unit_Code,Site_Name,Plot_Name,Location_Type,Year,Date,Start_Time,End_Time,Observer,Visit,Interval_Length,ID_Method,Distance,Flyover_Observed,Sex,Common_Name,Scientific_Name,AcceptedTSN,NPSTaxonCode,AOU_Code,PIF_Watchlist_Status,Regional_Stewardship_Status,Temperature,Humidity,Sky,Wind,Disturbance,Initial_Three_Min_Cnt
ANTI,NA,ANTI 1,ANTI-0036,Forest,2018,05/22/2018,12/30/1899 06:19:00,12/30/1899 06:29:00,Elizabeth Oswald,1,0-2.5 min,Singing,<= 50 Meters,FALSE,Undetermined,Eastern Towhee,Pipilo erythrophthalmus,179276,83803,EATO,FALSE,TRUE,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,TRUE
ANTI,NA,ANTI 1,ANTI-0036,Forest,2018,05/22/2018,12/30/1899 06:19:00,12/30/1899 06:29:00,Elizabeth Oswald,1,0-2.5 min,Calling,<= 50 Meters,FALSE,,White-breasted Nuthatch,Sitta carolinensis,178775,90935,WBNU,FALSE,FALSE,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,TRUE
ANTI,NA,ANTI 1,ANTI-0036,Forest,2018,05/22/2018,12/30/1899 06:19:00,12/30/1899 06:29:00,Elizabeth Oswald,1,2.5 - 5 min,Calling,50 - 100 Meters,FALSE,,Red-bellied Woodpecker,Melanerpes carolinus,178195,84865,RBWO,FALSE,FALSE,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,FALSE
ANTI,NA,ANTI 1,ANTI-0036,Forest,2018,05/22/2018,12/30/1899 06:19:00,12/30/1899 06:29:00,Elizabeth Oswald,1,2.5 - 5 min,Singing,<= 50 Meters,FALSE,,Orchard Oriole,Icterus spurius,179064,93634,OROR,FALSE,FALSE,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,FALSE
ANTI,NA,ANTI 1,ANTI-0036,Forest,2018,05/22/2018,12/30/1899 06:19:00,12/30/1899 06:29:00,Elizabeth Oswald,1,2.5 - 5 min,Visualization,<= 50 Meters,FALSE,,Northern Mockingbird,Mimus polyglottos,178620,88394,NOMO,FALSE,FALSE,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,FALSE
ANTI,NA,ANTI 1,ANTI-0036,Forest,2018,05/22/2018,12/30/1899 06:19:00,12/30/1899 06:29:00,Elizabeth Oswald,1,5 - 7.5 min,Singing,<= 50 Meters,FALSE,,Northern Cardinal,Cardinalis cardinalis,179124,94228,NOCA,FALSE,FALSE,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,FALSE
ANTI,NA,ANTI 1,ANTI-0036,Forest,2018,05/22/2018,12/30/1899 06:19:00,12/30/1899 06:29:00,Elizabeth Oswald,1,0-2.5 min,Singing,50 - 100 Meters,FALSE,,Northern Cardinal,Cardinalis cardinalis,179124,94228,NOCA,FALSE,FALSE,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,TRUE
ANTI,NA,ANTI 1,ANTI-0036,Forest,2018,05/22/2018,12/30/1899 06:19:00,12/30/1899 06:29:00,Elizabeth Oswald,1,0-2.5 min,Singing,<= 50 Meters,FALSE,,Horned Lark,Eremophila alpestris,554256,264079,HOLA,FALSE,FALSE,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,TRUE
ANTI,NA,ANTI 1,ANTI-0036,Forest,2018,05/22/2018,12/30/1899 06:19:00,12/30/1899 06:29:00,Elizabeth Oswald,1,0-2.5 min,Singing,<= 50 Meters,FALSE,,Mourning Dove,Zenaida macroura,177125,82737,MODO,FALSE,FALSE,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,TRUE
ANTI,NA,ANTI 1,ANTI-0036,Forest,2018,05/22/2018,12/30/1899 06:19:00,12/30/1899 06:29:00,Elizabeth Oswald,1,5 - 7.5 min,Singing,<= 50 Meters,FALSE,Undetermined,Field Sparrow,Spizella pusilla,179443,84790,FISP,FALSE,TRUE,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,FALSE
